id,exercise,sets,reps,desc
1,Pull Ups (warmup),2,10-12,
2,Straight arm lat pulls,2-3,10-12,Starting position parallet to the ground. Pull and slightly go up for better stretch.
3A,Close Grip Lat Pulldown,3,10-12,
3B,Incline DB Curls,3,10-12,Hold the DB from the end and supenate.
4A,Lat Pulldowns,3,10-12,
4B,Spider Curls,3,10-12,
5A,Bent over barbell rows,3,10-12,Bent till parallel to the ground. Touch the bar to ground. Lift up till belly button and slightly move up.
5B,DB hammer curls,3,10-12,
6A,T-Bar Rows,3,10-12,
6B,Reverse Bar Curl,3,10-12,
7,Deadlift,5,8-6-6-2-1,
8,CARDIO - Treadmill,30 min,12 incl | 3 speed,
